date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:09	297/297	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jan%202024%2008:29:09%20GMT	http://localhost:8080/robots.txt		(from )
10:29:15	189687/189687	---MC-	200	added ('OK')	text/html	date:Fri,%2026%20Jan%202024%2008:29:09%20GMT	http://localhost:8080/t-sayed/	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/index.html	(from )
10:29:17	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2026%20Jan%202024%2008:29:16%20GMT	http://localhost:8080/t-sayed/xmlrpc.php	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/xmlrpc.0.delayed	(from http://localhost:8080/t-sayed/)
10:29:17	110035/110035	---M--	200	added ('OK')	text/css	etag:%221add3-6096ce9174c00%22	http://localhost:8080/t-sayed/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/wp-includes/css/dist/block-library/style.min1e39.css	(from http://localhost:8080/t-sayed/)
10:29:18	776/776	---M--	200	added ('OK')	text/css	etag:%22308-60fcadacb455b%22	http://localhost:8080/t-sayed/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.23	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor4a8b.css	(from http://localhost:8080/t-sayed/)
10:29:20	1798/1798	---M--	200	added ('OK')	application/rss+xml	etag:%22b40952b48761c82af1aff6a4a9a22b51%22	http://localhost:8080/t-sayed/feed/	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/feed/index.html	(from http://localhost:8080/t-sayed/)
10:29:20	234546/234546	---M--	200	added ('OK')	text/css	etag:%2239432-60f33db38cd0b%22	http://localhost:8080/t-sayed/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.6.14	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/wp-content/plugins/jet-elements/assets/css/jet-elements32bb.css	(from http://localhost:8080/t-sayed/)
10:29:21	17780/17780	---M--	200	added ('OK')	text/css	etag:%224574-60f33db38f413%22	http://localhost:8080/t-sayed/wp-content/plugins/jet-elements/assets/css/jet-elements-skin.css?ver=2.6.14	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/wp-content/plugins/jet-elements/assets/css/jet-elements-skin32bb.css	(from http://localhost:8080/t-sayed/)
10:29:21	1725/1725	---M--	200	added ('OK')	application/rss+xml	etag:%22b40952b48761c82af1aff6a4a9a22b51%22	http://localhost:8080/t-sayed/comments/feed/	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/comments/feed/index.html	(from http://localhost:8080/t-sayed/)
10:29:21	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-60fc1e1a0c890%22	http://localhost:8080/t-sayed/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/teamsayed/localhost_8080/t-sayed/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://localhost:8080/t-sayed/)
